id,titre,amplitude,rms,dB,Peak,StdDev,Score,Danger%,env,moy_danger
45,synthetic_2.wav,,0.15658,83.8948,0.93088,0.153579,64.5559,65,3,60.8
46,synthetic_2.wav,,0.115785,81.2731,0.933038,0.116868,62.8377,63,3,60.8
47,synthetic_3.wav,,0.162871,84.2369,0.734073,0.16003,58.9176,59,2,60.2
48,synthetic_3.wav,,0.107285,80.6109,0.779037,0.131114,58.2377,58,2,60.2
49,synthetic_3.wav,,0.166483,84.4275,0.846957,0.183384,62.8474,63,3,60.2
50,synthetic_3.wav,,0.117191,81.378,0.889518,0.110757,61.4519,61,3,60.2
51,synthetic_3.wav,,0.091877,79.2643,0.87307,0.100052,59.8988,60,2,60.2
52,synthetic_4.wav,,0.170521,84.6356,0.943397,0.17243,65.6048,66,3,61.33
53,synthetic_4.wav,,0.125024,81.9399,0.835792,0.118003,60.2098,60,2,61.33
54,synthetic_4.wav,,0.120126,81.5928,0.763287,0.120698,57.9497,58,2,61.33
55,synthetic_5.wav,,0.125623,81.9814,0.873246,0.125969,61.5093,62,3,62.0
56,synthetic_5.wav,,0.19531,85.8145,0.821274,0.18037,62.5714,63,3,62.0
57,synthetic_5.wav,,0.160671,84.1188,0.812791,0.156451,61.1603,61,3,62.0
58,synthetic_5.wav,,0.196871,85.8837,0.790397,0.211246,62.2903,62,3,62.0
59,synthetic_6.wav,,0.182233,85.2126,0.781861,0.166168,60.8642,61,3,62.0
60,synthetic_6.wav,,0.158291,83.9892,0.8339,0.156161,61.7359,62,3,62.0
61,synthetic_6.wav,,0.150851,83.571,0.895016,0.141941,63.1177,63,3,62.0
62,synthetic_7.wav,,0.093945,79.4575,0.873497,0.103898,60.0659,60,2,61.5
63,synthetic_7.wav,,0.112246,81.0035,0.92973,0.109869,62.4907,62,3,61.5
64,synthetic_7.wav,,0.08,78.0619,0.907812,0.084776,60.1547,60,2,61.5
65,synthetic_7.wav,,0.209311,86.4159,0.850119,0.204456,64.159,64,3,61.5
66,synthetic_8.wav,,0.138355,82.82,0.859226,0.151665,61.9381,62,3,61.83
67,synthetic_8.wav,,0.182463,85.2235,0.842145,0.174812,62.85,63,3,61.83
68,synthetic_8.wav,,0.153592,83.7274,0.816045,0.160392,61.1802,61,3,61.83
69,synthetic_8.wav,,0.190604,85.6027,0.941014,0.187991,66.2313,66,3,61.83
70,synthetic_8.wav,,0.145179,83.2381,0.859539,0.13174,61.7162,62,3,61.83
71,synthetic_8.wav,,0.08,78.0619,0.825136,0.075489,57.4886,57,2,61.83
72,synthetic_9.wav,,0.122484,81.7617,0.83682,0.128802,60.3853,60,2,62.5
73,synthetic_9.wav,,0.153601,83.7279,0.901883,0.16589,63.8655,64,3,62.5
74,synthetic_9.wav,,0.133841,82.5319,0.760351,0.144387,58.711,59,2,62.5
75,synthetic_9.wav,,0.160605,84.1152,0.87101,0.163712,63.0506,63,3,62.5
76,synthetic_9.wav,,0.164121,84.3033,0.900474,0.157903,63.8936,64,3,62.5
77,synthetic_9.wav,,0.131191,82.3581,0.984425,0.132068,65.1174,65,3,62.5
78,synthetic_10.wav,,0.159623,84.062,0.792132,0.151385,60.4165,60,2,59.75
79,synthetic_10.wav,,0.107485,80.627,0.91696,0.096148,61.6826,62,3,59.75
80,synthetic_10.wav,,0.082289,78.3069,0.838658,0.087821,58.2389,58,2,59.75
81,synthetic_10.wav,,0.08,78.0619,0.8618,0.088144,58.8416,59,2,59.75
82,synthetic_11.wav,,0.206726,86.3079,0.752121,0.211604,61.3189,61,3,60.17
83,synthetic_11.wav,,0.095438,79.5945,0.730925,0.09627,55.6909,56,2,60.17
84,synthetic_11.wav,,0.158497,84.0005,0.820472,0.157139,61.3572,61,3,60.17
85,synthetic_11.wav,,0.08,78.0619,0.901875,0.089724,60.0755,60,2,60.17
86,synthetic_11.wav,,0.145783,83.2742,0.85301,0.135646,61.6129,62,3,60.17
87,synthetic_11.wav,,0.182835,85.2412,0.760966,0.183451,60.5945,61,3,60.17
88,synthetic_12.wav,,0.184557,85.3227,0.790182,0.190077,61.6361,62,3,63.67
89,synthetic_12.wav,,0.138157,82.8075,1.0,0.129546,65.7139,66,3,63.67
90,synthetic_12.wav,,0.136918,82.7293,0.908127,0.142618,63.1879,63,3,63.67
91,synthetic_12.wav,,0.177291,84.9738,0.911981,0.18318,65.0125,65,3,63.67
92,synthetic_12.wav,,0.17887,85.0508,0.774079,0.17794,60.8015,61,3,63.67
93,synthetic_12.wav,,0.141589,83.0206,0.935752,0.163492,64.5507,65,3,63.67
94,synthetic_13.wav,,0.119467,81.545,0.822178,0.122147,59.7263,60,2,61.67
95,synthetic_13.wav,,0.143531,83.139,0.850467,0.159767,61.9649,62,3,61.67
96,synthetic_13.wav,,0.11964,81.5576,0.928894,0.113173,62.7533,63,3,61.67
97,synthetic_14.wav,,0.149911,83.5167,0.86364,0.141848,62.1528,62,3,61.83
98,synthetic_14.wav,,0.11596,81.2862,0.907667,0.137953,62.5036,63,3,61.83
99,synthetic_14.wav,,0.18096,85.1517,0.836257,0.176884,62.6861,63,3,61.83
100,synthetic_14.wav,,0.188931,85.5261,0.776425,0.174169,60.9866,61,3,61.83
101,synthetic_14.wav,,0.18655,85.4159,0.86127,0.173161,63.4677,63,3,61.83
102,synthetic_14.wav,,0.141109,82.9912,0.780171,0.13816,59.3648,59,2,61.83
103,synthetic_15.wav,,0.140323,82.9426,0.899481,0.144325,63.048,63,3,62.0
104,synthetic_15.wav,,0.168668,84.5407,0.913146,0.161706,64.4448,64,3,62.0
105,synthetic_15.wav,,0.1186,81.4817,0.804961,0.102472,58.791,59,2,62.0
106,synthetic_15.wav,,0.152834,83.6845,0.944785,0.162807,65.0735,65,3,62.0
107,synthetic_15.wav,,0.083755,78.4603,0.852123,0.079827,58.5443,59,2,62.0
108,synthetic_16.wav,,0.134535,82.5768,0.840973,0.135068,60.9613,61,3,62.0
109,synthetic_16.wav,,0.168785,84.5467,0.873021,0.16418,63.2929,63,3,62.0
110,synthetic_16.wav,,0.137223,82.7486,0.878578,0.13793,62.2154,62,3,62.0
111,synthetic_17.wav,,0.165051,84.3524,0.854188,0.173917,62.8449,63,3,62.33
112,synthetic_17.wav,,0.156129,83.8697,0.883865,0.155133,63.1665,63,3,62.33
113,synthetic_17.wav,,0.16168,84.1732,0.808377,0.159457,61.1097,61,3,62.33
114,synthetic_18.wav,,0.187655,85.4672,0.744327,0.193619,60.3891,60,2,62.67
115,synthetic_18.wav,,0.144932,83.2233,0.916828,0.150657,63.8073,64,3,62.67
116,synthetic_18.wav,,0.08,78.0619,1.0,0.080797,62.8407,63,3,62.67
117,synthetic_18.wav,,0.194893,85.796,0.852981,0.214938,64.2066,64,3,62.67
118,synthetic_18.wav,,0.142462,83.074,0.789935,0.139384,59.7153,60,2,62.67
119,synthetic_18.wav,,0.187238,85.4479,0.905665,0.169213,64.7334,65,3,62.67
120,synthetic_19.wav,,0.114232,81.1558,0.83885,0.109291,59.8137,60,2,60.0
121,synthetic_19.wav,,0.125595,81.9795,0.779268,0.133549,58.8408,59,2,60.0
122,synthetic_19.wav,,0.156317,83.8802,0.787832,0.145865,60.1043,60,2,60.0
123,synthetic_19.wav,,0.08,78.0619,0.9321,0.07207,60.6292,61,3,60.0
124,synthetic_20.wav,,0.132938,82.473,0.653248,0.127932,55.1453,55,2,59.83
125,synthetic_20.wav,,0.153597,83.7277,0.884664,0.153294,63.0969,63,3,59.83
126,synthetic_20.wav,,0.166355,84.4208,0.786114,0.161947,60.5907,61,3,59.83
127,synthetic_20.wav,,0.184953,85.3413,0.816315,0.172593,62.0778,62,3,59.83
128,synthetic_20.wav,,0.08,78.0619,0.855832,0.058776,58.0752,58,2,59.83
129,synthetic_20.wav,,0.158001,83.9733,0.780895,0.146083,59.9378,60,2,59.83
